patient,period,delta
s530,Period1,1.5025851812521306e-11
s530,Period1,-7.595364184413188e-12
s530,Period1,2.1588682206352303e-11
s530,Period1,-1.8274117916999603e-12
s530,Period1,2.1681524697863898e-11
s530,Period1,7.881276443353521e-13
s530,Period1,1.6582843305640408e-11
s530,Period1,4.527706654131627e-12
s530,Period1,-4.083700823975162e-12
s530,Period1,1.7319282668836204e-11
s530,Period1,1.2487952339686236e-11
s530,Period1,-8.511588245637697e-12
s530,Period1,8.3809101763476e-12
s530,Period1,4.3432614099879315e-12
s530,Period1,1.1534891882711196e-11
s530,Period1,1.6171406417000143e-11
s530,Period1,1.3131963766538218e-11
s530,Period1,1.1957414161798153e-11
s530,Period1,2.0546297063875324e-11
s530,Period1,7.100473373607654e-12
s530,Period1,2.644983173750597e-12
s530,Period1,1.1278900028719863e-11
s530,Period1,5.688396449732852e-12
s530,Period1,2.1354653199753985e-12
s530,Period1,-5.692117608688243e-12
s530,Period1,9.787145599036534e-12
s530,Period1,2.7840610961380347e-11
s530,Period1,9.616105633933058e-12
s530,Period1,4.044394761455565e-12
s530,Period1,4.8967795438395605e-12
s530,Period1,1.800796897732585e-11
s530,Period1,-4.968855553622421e-12
s530,Period2,1.536652407913795e-11
s530,Period2,7.584681282794112e-12
s530,Period2,1.691748235739102e-11
s530,Period2,9.308904180372244e-12
s530,Period2,4.602305724164012e-12
s530,Period2,-3.1564090931657467e-12
s530,Period2,1.308896391532289e-11
s530,Period2,-1.1441917501923583e-12
s530,Period2,1.4126102697756127e-11
s530,Period2,1.869764453166312e-11
s530,Period2,-4.6001933311486434e-12
s530,Period2,1.4975665528289414e-11
s530,Period2,-2.9175070123950204e-12
s530,Period2,1.5972992060612647e-11
s530,Period2,1.1491791813199978e-11
s530,Period2,-2.3566915842513554e-12
s530,Period2,4.0508886860733295e-12
